filename	status	image
001.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577505/full/full/0/default.jpg
002.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577506/full/full/0/default.jpg
003.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577507/full/full/0/default.jpg
004.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577508/full/full/0/default.jpg
005.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577509/full/full/0/default.jpg
006.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577510/full/full/0/default.jpg
007.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577511/full/full/0/default.jpg
008.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577512/full/full/0/default.jpg
009.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577513/full/full/0/default.jpg
010.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577514/full/full/0/default.jpg
011.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577515/full/full/0/default.jpg
012.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577516/full/full/0/default.jpg
013.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577517/full/full/0/default.jpg
014.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577518/full/full/0/default.jpg
015.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577519/full/full/0/default.jpg
016.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577520/full/full/0/default.jpg
017.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577521/full/full/0/default.jpg
018.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577522/full/full/0/default.jpg
019.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577523/full/full/0/default.jpg
020.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577524/full/full/0/default.jpg
021.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577525/full/full/0/default.jpg
022.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577526/full/full/0/default.jpg
023.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577527/full/full/0/default.jpg
024.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577528/full/full/0/default.jpg
025.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577529/full/full/0/default.jpg
026.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577530/full/full/0/default.jpg
027.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577531/full/full/0/default.jpg
028.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577532/full/full/0/default.jpg
029.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577533/full/full/0/default.jpg
030.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577534/full/full/0/default.jpg
031.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577535/full/full/0/default.jpg
032.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577536/full/full/0/default.jpg
033.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577537/full/full/0/default.jpg
034.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577538/full/full/0/default.jpg
035.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577539/full/full/0/default.jpg
036.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577540/full/full/0/default.jpg
037.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577541/full/full/0/default.jpg
038.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577542/full/full/0/default.jpg
039.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577543/full/full/0/default.jpg
040.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577544/full/full/0/default.jpg
041.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577545/full/full/0/default.jpg
042.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577546/full/full/0/default.jpg
043.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577547/full/full/0/default.jpg
044.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577548/full/full/0/default.jpg
045.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577549/full/full/0/default.jpg
046.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577550/full/full/0/default.jpg
047.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577551/full/full/0/default.jpg
048.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577552/full/full/0/default.jpg
049.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577553/full/full/0/default.jpg
050.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577554/full/full/0/default.jpg
051.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577555/full/full/0/default.jpg
052.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577556/full/full/0/default.jpg
053.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577557/full/full/0/default.jpg
054.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577558/full/full/0/default.jpg
055.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577559/full/full/0/default.jpg
056.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577560/full/full/0/default.jpg
057.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577561/full/full/0/default.jpg
058.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577562/full/full/0/default.jpg
059.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577563/full/full/0/default.jpg
060.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577564/full/full/0/default.jpg
061.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577565/full/full/0/default.jpg
062.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577566/full/full/0/default.jpg
063.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577567/full/full/0/default.jpg
064.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577568/full/full/0/default.jpg
065.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577569/full/full/0/default.jpg
066.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577570/full/full/0/default.jpg
067.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577571/full/full/0/default.jpg
068.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577572/full/full/0/default.jpg
069.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577573/full/full/0/default.jpg
070.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577574/full/full/0/default.jpg
071.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577575/full/full/0/default.jpg
072.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577576/full/full/0/default.jpg
073.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577577/full/full/0/default.jpg
074.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577578/full/full/0/default.jpg
075.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577579/full/full/0/default.jpg
076.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577580/full/full/0/default.jpg
077.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577581/full/full/0/default.jpg
078.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577582/full/full/0/default.jpg
079.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577583/full/full/0/default.jpg
080.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577584/full/full/0/default.jpg
081.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577585/full/full/0/default.jpg
082.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577586/full/full/0/default.jpg
083.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577587/full/full/0/default.jpg
084.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577588/full/full/0/default.jpg
085.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577589/full/full/0/default.jpg
086.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577590/full/full/0/default.jpg
087.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577591/full/full/0/default.jpg
088.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577592/full/full/0/default.jpg
089.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577593/full/full/0/default.jpg
090.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577594/full/full/0/default.jpg
091.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577595/full/full/0/default.jpg
092.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577596/full/full/0/default.jpg
093.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577597/full/full/0/default.jpg
094.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577598/full/full/0/default.jpg
095.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577599/full/full/0/default.jpg
096.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577600/full/full/0/default.jpg
097.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577601/full/full/0/default.jpg
098.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577602/full/full/0/default.jpg
099.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577603/full/full/0/default.jpg
100.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1577604/full/full/0/default.jpg
