filename	status	image	canvasId
001.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579553/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p1
002.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579554/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p2
003.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579555/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p3
004.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579556/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p4
005.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579557/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p5
006.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579558/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p6
007.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579559/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p7
008.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579560/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p8
009.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579561/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p9
010.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579562/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p10
011.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579563/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p11
012.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579564/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p12
013.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579565/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p13
014.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579566/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p14
015.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579567/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p15
016.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579568/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p16
017.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579569/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p17
018.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579570/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p18
019.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579571/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p19
020.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579572/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p20
021.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579573/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p21
022.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579574/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p22
023.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579575/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p23
024.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579576/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p24
025.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579577/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p25
026.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579578/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p26
027.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579579/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p27
028.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579580/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p28
029.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579581/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p29
030.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579582/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p30
031.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579583/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p31
032.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579584/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p32
033.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579585/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p33
034.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579586/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p34
035.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579587/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p35
036.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579588/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p36
037.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579589/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p37
038.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579590/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p38
039.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579591/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p39
040.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579592/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p40
041.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579593/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p41
042.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579594/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p42
043.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579595/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p43
044.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579596/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1579552/canvas/p44
