filename	status	image	canvasId
001.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1382326/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1367951/canvas/p1
002.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1382327/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1367951/canvas/p2
003.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1382328/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1367951/canvas/p3
004.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1382329/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1367951/canvas/p4
005.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1382335/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1367951/canvas/p5
006.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1382336/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1367951/canvas/p6
007.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1382337/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1367951/canvas/p7
008.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1382338/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1367951/canvas/p8
009.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1382339/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1367951/canvas/p9
010.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1382340/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1367951/canvas/p10
011.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1382341/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1367951/canvas/p11
012.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1382342/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1367951/canvas/p12
013.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1382343/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1367951/canvas/p13
014.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1382344/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1367951/canvas/p14
015.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1382345/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1367951/canvas/p15
016.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1382346/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1367951/canvas/p16
017.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1382347/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1367951/canvas/p17
018.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1382348/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1367951/canvas/p18
019.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1382349/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1367951/canvas/p19
020.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1382350/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1367951/canvas/p20
