filename	status	image	canvasId
001.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582803/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582713/canvas/p1
002.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582804/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582713/canvas/p2
003.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582805/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582713/canvas/p3
004.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582806/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582713/canvas/p4
005.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582807/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582713/canvas/p5
006.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582808/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582713/canvas/p6
007.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582809/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582713/canvas/p7
008.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582810/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582713/canvas/p8
009.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582811/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582713/canvas/p9
010.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582812/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582713/canvas/p10
011.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582813/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582713/canvas/p11
012.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582814/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582713/canvas/p12
013.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582815/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582713/canvas/p13
014.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582816/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582713/canvas/p14
015.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582817/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582713/canvas/p15
016.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582818/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582713/canvas/p16
017.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582819/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582713/canvas/p17
018.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582820/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582713/canvas/p18
019.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582821/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582713/canvas/p19
020.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582822/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582713/canvas/p20
021.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582823/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1582713/canvas/p21
