filename	status	image	canvasId
001.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037441/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p1
002.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037442/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p2
003.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037443/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p3
004.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037444/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p4
005.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037445/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p5
006.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037446/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p6
007.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037447/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p7
008.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037448/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p8
009.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037449/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p9
010.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037450/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p10
011.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037451/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p11
012.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037452/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p12
013.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037453/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p13
014.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037454/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p14
015.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037455/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p15
016.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037456/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p16
017.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037457/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p17
018.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037458/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p18
019.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037459/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p19
020.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037460/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p20
021.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037461/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p21
022.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037462/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p22
023.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037464/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p23
024.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037466/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p24
025.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037468/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p25
026.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037471/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p26
027.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037473/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p27
028.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037475/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p28
029.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037477/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p29
030.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037478/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p30
031.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037479/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p31
032.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037480/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p32
033.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037481/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p33
034.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037482/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p34
035.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037483/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p35
036.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037484/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1037440/canvas/p36
