filename	status	image
001.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0307.tif/full/full/0/default.jpg
002.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0308.tif/full/full/0/default.jpg
003.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0309.tif/full/full/0/default.jpg
004.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0310.tif/full/full/0/default.jpg
005.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0311.tif/full/full/0/default.jpg
006.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0312.tif/full/full/0/default.jpg
007.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0313.tif/full/full/0/default.jpg
008.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0314.tif/full/full/0/default.jpg
009.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0315.tif/full/full/0/default.jpg
010.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0316.tif/full/full/0/default.jpg
011.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0317.tif/full/full/0/default.jpg
012.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0318.tif/full/full/0/default.jpg
013.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0319.tif/full/full/0/default.jpg
014.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0320.tif/full/full/0/default.jpg
015.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0321.tif/full/full/0/default.jpg
016.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0322.tif/full/full/0/default.jpg
017.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0323.tif/full/full/0/default.jpg
018.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0324.tif/full/full/0/default.jpg
019.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0325.tif/full/full/0/default.jpg
020.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0326.tif/full/full/0/default.jpg
021.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0327.tif/full/full/0/default.jpg
022.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0328.tif/full/full/0/default.jpg
023.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0329.tif/full/full/0/default.jpg
024.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0330.tif/full/full/0/default.jpg
025.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0331.tif/full/full/0/default.jpg
026.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0332.tif/full/full/0/default.jpg
027.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0333.tif/full/full/0/default.jpg
028.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0334.tif/full/full/0/default.jpg
029.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0335.tif/full/full/0/default.jpg
030.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0336.tif/full/full/0/default.jpg
031.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0337.tif/full/full/0/default.jpg
032.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0338.tif/full/full/0/default.jpg
033.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0339.tif/full/full/0/default.jpg
034.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0340.tif/full/full/0/default.jpg
035.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0341.tif/full/full/0/default.jpg
036.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0342.tif/full/full/0/default.jpg
037.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0343.tif/full/full/0/default.jpg
038.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0344.tif/full/full/0/default.jpg
039.txt	completed	https://crch.dl.saga-u.ac.jp/iiif/kansei5/0345.tif/full/full/0/default.jpg
