filename	status	image
001.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00001298%2F01%2FRB00001298_00001_0.ptif/info.json
002.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00001298%2F01%2FRB00001298_00002_0.ptif/info.json
003.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00001298%2F01%2FRB00001298_00003_0.ptif/info.json
004.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00001298%2F01%2FRB00001298_00004_0.ptif/info.json
005.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00001298%2F01%2FRB00001298_00005_0.ptif/info.json
006.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00001298%2F01%2FRB00001298_00006_0.ptif/info.json
007.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00001298%2F01%2FRB00001298_00007_0.ptif/info.json
008.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00001298%2F01%2FRB00001298_00008_0.ptif/info.json
009.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00001298%2F01%2FRB00001298_00009_0.ptif/info.json
010.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00001298%2F01%2FRB00001298_00010_0.ptif/info.json
011.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00001298%2F01%2FRB00001298_00011_0.ptif/info.json
012.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00001298%2F01%2FRB00001298_00012_0.ptif/info.json
013.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00001298%2F01%2FRB00001298_00013_0.ptif/info.json
014.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00001298%2F01%2FRB00001298_00014_0.ptif/info.json
015.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00001298%2F01%2FRB00001298_00015_0.ptif/info.json
016.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00001298%2F01%2FRB00001298_00016_0.ptif/info.json
017.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00001298%2F01%2FRB00001298_00017_0.ptif/info.json
018.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00001298%2F01%2FRB00001298_00018_0.ptif/info.json
019.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00001298%2F01%2FRB00001298_00019_0.ptif/info.json
020.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00001298%2F01%2FRB00001298_00020_0.ptif/info.json
021.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00001298%2F01%2FRB00001298_00021_0.ptif/info.json
022.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00001298%2F01%2FRB00001298_00022_0.ptif/info.json
023.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00001298%2F01%2FRB00001298_00023_0.ptif/info.json
024.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00001298%2F01%2FRB00001298_00024_0.ptif/info.json
025.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00001298%2F01%2FRB00001298_00025_0.ptif/info.json
026.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00001298%2F01%2FRB00001298_00026_0.ptif/info.json
