filename	status	image
001.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00001_0.ptif/info.json
002.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00002_0.ptif/info.json
003.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00003_0.ptif/info.json
004.txt	initiated	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00004_0.ptif/info.json
005.txt	initiated	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00005_0.ptif/info.json
006.txt	initiated	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00006_0.ptif/info.json
007.txt	initiated	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00007_0.ptif/info.json
008.txt	initiated	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00008_0.ptif/info.json
009.txt	initiated	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00009_0.ptif/info.json
010.txt	initiated	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00010_0.ptif/info.json
011.txt	initiated	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00011_0.ptif/info.json
012.txt	initiated	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00012_0.ptif/info.json
013.txt	initiated	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00013_0.ptif/info.json
014.txt	initiated	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00014_0.ptif/info.json
015.txt	initiated	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00015_0.ptif/info.json
016.txt	initiated	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00016_0.ptif/info.json
017.txt	initiated	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00017_0.ptif/info.json
018.txt	initiated	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00018_0.ptif/info.json
019.txt	initiated	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00019_0.ptif/info.json
020.txt	initiated	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00020_0.ptif/info.json
021.txt	initiated	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00021_0.ptif/info.json
022.txt	initiated	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00022_0.ptif/info.json
023.txt	initiated	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00023_0.ptif/info.json
024.txt	initiated	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00024_0.ptif/info.json
025.txt	initiated	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00025_0.ptif/info.json
026.txt	initiated	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00026_0.ptif/info.json
027.txt	initiated	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00027_0.ptif/info.json
028.txt	initiated	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00028_0.ptif/info.json
029.txt	initiated	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00029_0.ptif/info.json
030.txt	initiated	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00030_0.ptif/info.json
031.txt	initiated	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00031_0.ptif/info.json
032.txt	initiated	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00032_0.ptif/info.json
033.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00033_0.ptif/info.json
034.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00034_0.ptif/info.json
035.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00035_0.ptif/info.json
036.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00036_0.ptif/info.json
037.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00037_0.ptif/info.json
038.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00038_0.ptif/info.json
039.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00039_0.ptif/info.json
040.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00040_0.ptif/info.json
041.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00041_0.ptif/info.json
042.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00042_0.ptif/info.json
043.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005233%2FRB00005233_00043_0.ptif/info.json
