Abbreviated Catalog of Temple Treasures (extracting the essential points)
Daikokuten statue (created by the founding patriarch, housed in a shrine cabinet), sword of Master Jō, shō flute called Matsumushi, surplice (formerly possessed by Ryōshō, a priest with the rank of Gon-Daisōzu during the Tendai sect period)
Diagram of the founding patriarch's lifetime five periods teaching (two scrolls), his letters (two scrolls), his letters (five pieces), revered master's letter (one piece), painting of sixteen arhats (attributed to Chō Denshi), letter from Lord Mitsukuni (one piece), Fūkyō Relics (one volume), flag of Kikuchi Takefusa along with copied genealogical records in two volumes, archery transmission document of Minamoto no Yoshiie

Catalog of Ancient Documents (though some of these dates may be incorrect, I have arranged them starting from the oldest)
Genkō 3rd year, 5th month, 1st day, Soya village, Hachiman estate, Shimōsa Province (and so forth)　　　Taira (monogram)
Daiei 7th year, 4th month, 20th day, concerning longtime temple patrons (and so forth)　　　Novice Shōsen　　
Tenbun 4th year, Kinoto-Hitsuji, 9th month, 3rd day, at this temple for future generations (and so forth)　　　Novice Jōshun
Eiroku 12th year, Tsuchinoto-Mi, 2nd month, 19th day, prohibition notice　　　　　　　(monogram)
Undated, 10th month, 13th day, prohibition notice　　　　　　　　　　　　　Tanenori
Undated, Kanoto-Mi, 9th month, 19th day, prohibition notice　　　　　　　　Tanetatsu
Undated, Hinoe-Ne, 2nd month, 14th day, prohibition notice　　　　　　　　Tanetatsu
Kyōtoku 5th year, 6th month, 20th day, Mama Kōbōji, Hachiman estate, Shimōsa Province (and so forth)　　Tanefusa
Kyōtoku 5th year, 6th month, 20th day, Shimōsa Province (and so forth), scattered lands as before (and so forth)　　Tanefusa
Kyōtoku 5th year, 10th month, 25th day, concerning the territory of Mama Hokkeidō Konponji, Hachiman estate, Shimōsa Province　Taira Suketane
Entoku 4th year, 9th month, 1st day, within Hachiman estate, Shimōsa Province (and so forth)　　　Katsutane
Tenbun 2nd year, 5th month, 1st day, concerning the scattered lands of this temple (and so forth)　　　Tanetaka
