filename	status	image	canvasId
001.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/f1/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/canvas/f1
002.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/f2/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/canvas/f2
003.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/f3/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/canvas/f3
004.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/f4/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/canvas/f4
005.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/f5/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/canvas/f5
006.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/f6/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/canvas/f6
007.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/f7/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/canvas/f7
008.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/f8/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/canvas/f8
009.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/f9/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/canvas/f9
010.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/f10/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/canvas/f10
011.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/f11/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/canvas/f11
012.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/f12/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/canvas/f12
013.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/f13/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/canvas/f13
014.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/f14/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/canvas/f14
015.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/f15/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/canvas/f15
016.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/f16/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/canvas/f16
017.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/f17/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/canvas/f17
018.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/f18/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/canvas/f18
019.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/f19/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/canvas/f19
020.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/f20/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/canvas/f20
021.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/f21/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/canvas/f21
022.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/f22/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/canvas/f22
023.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/f23/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/canvas/f23
024.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/f24/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/canvas/f24
025.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/f25/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/canvas/f25
026.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/f26/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/canvas/f26
