filename	status	image	canvasId
001.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f1/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f1
002.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f2/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f2
003.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f3/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f3
004.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f4/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f4
005.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f5/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f5
006.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f6/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f6
007.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f7/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f7
008.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f8/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f8
009.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f9/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f9
010.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f10/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f10
011.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f11/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f11
012.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f12/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f12
013.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f13/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f13
014.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f14/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f14
015.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f15/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f15
016.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f16/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f16
017.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f17/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f17
018.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f18/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f18
019.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f19/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f19
020.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f20/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f20
021.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f21/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f21
022.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f22/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f22
023.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f23/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f23
024.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f24/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f24
025.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f25/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f25
026.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f26/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f26
027.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f27/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f27
028.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f28/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f28
029.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f29/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f29
030.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f30/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f30
031.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f31/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f31
032.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f32/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f32
033.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f33/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f33
034.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f34/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f34
035.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f35/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f35
036.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f36/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f36
037.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f37/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f37
038.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f38/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f38
039.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f39/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f39
040.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f40/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f40
041.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f41/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f41
042.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f42/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f42
043.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f43/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f43
044.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f44/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f44
045.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/f45/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/canvas/f45
