filename	status	image	canvasId
001.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f1/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f1
002.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f2/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f2
003.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f3/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f3
004.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f4/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f4
005.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f5/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f5
006.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f6/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f6
007.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f7/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f7
008.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f8/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f8
009.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f9/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f9
010.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f10/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f10
011.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f11/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f11
012.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f12/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f12
013.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f13/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f13
014.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f14/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f14
015.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f15/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f15
016.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f16/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f16
017.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f17/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f17
018.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f18/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f18
019.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f19/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f19
020.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f20/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f20
021.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f21/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f21
022.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f22/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f22
023.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f23/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f23
024.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f24/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f24
025.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f25/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f25
026.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f26/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f26
027.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f27/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f27
028.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f28/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f28
029.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f29/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f29
030.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f30/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f30
031.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f31/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f31
032.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f32/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f32
033.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f33/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f33
034.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f34/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f34
035.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f35/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f35
036.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f36/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f36
037.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f37/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f37
038.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f38/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f38
039.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f39/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f39
040.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f40/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f40
041.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f41/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f41
042.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f42/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f42
043.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f43/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f43
044.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f44/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f44
045.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f45/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f45
046.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f46/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f46
047.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f47/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f47
048.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f48/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f48
049.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f49/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f49
050.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f50/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f50
051.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f51/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f51
052.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f52/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f52
053.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f53/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f53
054.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f54/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f54
055.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f55/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f55
056.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f56/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f56
057.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f57/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f57
058.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f58/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f58
059.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f59/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f59
060.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f60/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f60
061.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f61/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f61
062.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f62/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f62
063.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f63/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f63
064.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f64/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f64
065.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f65/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f65
066.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f66/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f66
067.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f67/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f67
068.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f68/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f68
069.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f69/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f69
070.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f70/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f70
071.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f71/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f71
072.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f72/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f72
073.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/f73/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/canvas/f73
