filename	status	image	canvasId
001.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/f1/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/canvas/f1
002.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/f2/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/canvas/f2
003.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/f3/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/canvas/f3
004.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/f4/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/canvas/f4
005.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/f5/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/canvas/f5
006.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/f6/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/canvas/f6
007.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/f7/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/canvas/f7
008.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/f8/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/canvas/f8
009.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/f9/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/canvas/f9
010.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/f10/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/canvas/f10
011.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/f11/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/canvas/f11
012.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/f12/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/canvas/f12
013.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/f13/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/canvas/f13
014.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/f14/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/canvas/f14
015.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/f15/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/canvas/f15
016.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/f16/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/canvas/f16
017.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/f17/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/canvas/f17
018.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/f18/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/canvas/f18
019.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/f19/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/canvas/f19
020.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/f20/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/canvas/f20
021.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/f21/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/canvas/f21
022.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/f22/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/canvas/f22
023.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/f23/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/canvas/f23
024.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/f24/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/canvas/f24
025.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/f25/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/canvas/f25
026.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/f26/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/canvas/f26
027.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/f27/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/canvas/f27
