filename	status	image	canvasId
001.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f1/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f1
002.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f2/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f2
003.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f3/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f3
004.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f4/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f4
005.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f5/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f5
006.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f6/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f6
007.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f7/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f7
008.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f8/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f8
009.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f9/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f9
010.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f10/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f10
011.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f11/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f11
012.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f12/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f12
013.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f13/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f13
014.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f14/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f14
015.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f15/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f15
016.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f16/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f16
017.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f17/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f17
018.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f18/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f18
019.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f19/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f19
020.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f20/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f20
021.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f21/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f21
022.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f22/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f22
023.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f23/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f23
024.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f24/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f24
025.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f25/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f25
026.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f26/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f26
027.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f27/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f27
028.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f28/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f28
029.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f29/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f29
030.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f30/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f30
031.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f31/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f31
032.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f32/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f32
033.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f33/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f33
034.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f34/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f34
035.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f35/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f35
036.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f36/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f36
037.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f37/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f37
038.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/f38/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10533297m/canvas/f38
