filename	status	image
001.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000055%2FL000055_01.tif/full/full/0/default.jpg
002.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000055%2FL000055_02.tif/full/full/0/default.jpg
003.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000055%2FL000055_03.tif/full/full/0/default.jpg
004.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000055%2FL000055_04.tif/full/full/0/default.jpg
005.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000055%2FL000055_05.tif/full/full/0/default.jpg
006.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000055%2FL000055_06.tif/full/full/0/default.jpg
007.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000055%2FL000055_07.tif/full/full/0/default.jpg
008.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000055%2FL000055_08.tif/full/full/0/default.jpg
009.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000055%2FL000055_09.tif/full/full/0/default.jpg
010.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000055%2FL000055_10.tif/full/full/0/default.jpg
011.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000055%2FL000055_11.tif/full/full/0/default.jpg
012.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000055%2FL000055_12.tif/full/full/0/default.jpg
013.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000055%2FL000055_13.tif/full/full/0/default.jpg
014.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000055%2FL000055_14.tif/full/full/0/default.jpg
015.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000055%2FL000055_15.tif/full/full/0/default.jpg
016.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000055%2FL000055_16.tif/full/full/0/default.jpg
017.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000055%2FL000055_17.tif/full/full/0/default.jpg
018.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000055%2FL000055_18.tif/full/full/0/default.jpg
019.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000055%2FL000055_19.tif/full/full/0/default.jpg
020.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000055%2FL000055_20.tif/full/full/0/default.jpg
021.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000055%2FL000055_21.tif/full/full/0/default.jpg
022.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000055%2FL000055_22.tif/full/full/0/default.jpg
023.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000055%2FL000055_23.tif/full/full/0/default.jpg
024.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000055%2FL000055_24.tif/full/full/0/default.jpg
025.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000055%2FL000055_25.tif/full/full/0/default.jpg
026.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000055%2FL000055_26.tif/full/full/0/default.jpg
027.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000055%2FL000055_27.tif/full/full/0/default.jpg
028.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000055%2FL000055_28.tif/full/full/0/default.jpg
029.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/2/erilibsc%2FL000055%2FL000055_29.tif/full/full/0/default.jpg
