filename	status	image
001.txt	default	https://ourarchives.amane-project.jp/iipsrv/iipsrv.fcgi?IIIF=/img/ina/ikegami/ikegami01-427-08/ikegami01-427-08-001.tif/full/full/0/default.jpg
002.txt	default	https://ourarchives.amane-project.jp/iipsrv/iipsrv.fcgi?IIIF=/img/ina/ikegami/ikegami01-427-08/ikegami01-427-08-002.tif/full/full/0/default.jpg
003.txt	default	https://ourarchives.amane-project.jp/iipsrv/iipsrv.fcgi?IIIF=/img/ina/ikegami/ikegami01-427-08/ikegami01-427-08-003.tif/full/full/0/default.jpg
004.txt	default	https://ourarchives.amane-project.jp/iipsrv/iipsrv.fcgi?IIIF=/img/ina/ikegami/ikegami01-427-08/ikegami01-427-08-004.tif/full/full/0/default.jpg
005.txt	default	https://ourarchives.amane-project.jp/iipsrv/iipsrv.fcgi?IIIF=/img/ina/ikegami/ikegami01-427-08/ikegami01-427-08-005.tif/full/full/0/default.jpg
006.txt	default	https://ourarchives.amane-project.jp/iipsrv/iipsrv.fcgi?IIIF=/img/ina/ikegami/ikegami01-427-08/ikegami01-427-08-006.tif/full/full/0/default.jpg
007.txt	default	https://ourarchives.amane-project.jp/iipsrv/iipsrv.fcgi?IIIF=/img/ina/ikegami/ikegami01-427-08/ikegami01-427-08-007.tif/full/full/0/default.jpg
008.txt	default	https://ourarchives.amane-project.jp/iipsrv/iipsrv.fcgi?IIIF=/img/ina/ikegami/ikegami01-427-08/ikegami01-427-08-008.tif/full/full/0/default.jpg
009.txt	default	https://ourarchives.amane-project.jp/iipsrv/iipsrv.fcgi?IIIF=/img/ina/ikegami/ikegami01-427-08/ikegami01-427-08-009.tif/full/full/0/default.jpg
010.txt	default	https://ourarchives.amane-project.jp/iipsrv/iipsrv.fcgi?IIIF=/img/ina/ikegami/ikegami01-427-08/ikegami01-427-08-010.tif/full/full/0/default.jpg
