filename	status	image	canvasId
001.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200023049/v4/NIIP/YA9-0526/YA9-0526-00001.tif/full/full/0/default.jpg	https://kokusho.nijl.ac.jp/biblio/200023049/canvas/1
002.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200023049/v4/NIIP/YA9-0526/YA9-0526-00002.tif/full/full/0/default.jpg	https://kokusho.nijl.ac.jp/biblio/200023049/canvas/2
003.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200023049/v4/NIIP/YA9-0526/YA9-0526-00003.tif/full/full/0/default.jpg	https://kokusho.nijl.ac.jp/biblio/200023049/canvas/3
004.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200023049/v4/NIIP/YA9-0526/YA9-0526-00004.tif/full/full/0/default.jpg	https://kokusho.nijl.ac.jp/biblio/200023049/canvas/4
005.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200023049/v4/NIIP/YA9-0526/YA9-0526-00005.tif/full/full/0/default.jpg	https://kokusho.nijl.ac.jp/biblio/200023049/canvas/5
006.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200023049/v4/NIIP/YA9-0526/YA9-0526-00006.tif/full/full/0/default.jpg	https://kokusho.nijl.ac.jp/biblio/200023049/canvas/6
007.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200023049/v4/NIIP/YA9-0526/YA9-0526-00007.tif/full/full/0/default.jpg	https://kokusho.nijl.ac.jp/biblio/200023049/canvas/7
008.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200023049/v4/NIIP/YA9-0526/YA9-0526-00008.tif/full/full/0/default.jpg	https://kokusho.nijl.ac.jp/biblio/200023049/canvas/8
009.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200023049/v4/NIIP/YA9-0526/YA9-0526-00009.tif/full/full/0/default.jpg	https://kokusho.nijl.ac.jp/biblio/200023049/canvas/9
010.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200023049/v4/NIIP/YA9-0526/YA9-0526-00010.tif/full/full/0/default.jpg	https://kokusho.nijl.ac.jp/biblio/200023049/canvas/10
011.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200023049/v4/NIIP/YA9-0526/YA9-0526-00011.tif/full/full/0/default.jpg	https://kokusho.nijl.ac.jp/biblio/200023049/canvas/11
012.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200023049/v4/NIIP/YA9-0526/YA9-0526-00012.tif/full/full/0/default.jpg	https://kokusho.nijl.ac.jp/biblio/200023049/canvas/12
013.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200023049/v4/NIIP/YA9-0526/YA9-0526-00013.tif/full/full/0/default.jpg	https://kokusho.nijl.ac.jp/biblio/200023049/canvas/13
014.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200023049/v4/NIIP/YA9-0526/YA9-0526-00014.tif/full/full/0/default.jpg	https://kokusho.nijl.ac.jp/biblio/200023049/canvas/14
015.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200023049/v4/NIIP/YA9-0526/YA9-0526-00015.tif/full/full/0/default.jpg	https://kokusho.nijl.ac.jp/biblio/200023049/canvas/15
