filename	status	image
001.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00000.tif/full/full/0/default.jpg
002.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00001.tif/full/full/0/default.jpg
003.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00002.tif/full/full/0/default.jpg
004.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00003.tif/full/full/0/default.jpg
005.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00004.tif/full/full/0/default.jpg
006.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00005.tif/full/full/0/default.jpg
007.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00006.tif/full/full/0/default.jpg
008.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00007.tif/full/full/0/default.jpg
009.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00008.tif/full/full/0/default.jpg
010.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00009.tif/full/full/0/default.jpg
011.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00010.tif/full/full/0/default.jpg
012.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00011.tif/full/full/0/default.jpg
013.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00012.tif/full/full/0/default.jpg
014.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00013.tif/full/full/0/default.jpg
015.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00014.tif/full/full/0/default.jpg
016.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00015.tif/full/full/0/default.jpg
017.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00016.tif/full/full/0/default.jpg
018.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00017.tif/full/full/0/default.jpg
019.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00018.tif/full/full/0/default.jpg
020.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00019.tif/full/full/0/default.jpg
021.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00020.tif/full/full/0/default.jpg
022.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00021.tif/full/full/0/default.jpg
023.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00022.tif/full/full/0/default.jpg
024.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00023.tif/full/full/0/default.jpg
025.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00024.tif/full/full/0/default.jpg
026.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00025.tif/full/full/0/default.jpg
027.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00026.tif/full/full/0/default.jpg
028.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00027.tif/full/full/0/default.jpg
029.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00028.tif/full/full/0/default.jpg
030.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00029.tif/full/full/0/default.jpg
031.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00030.tif/full/full/0/default.jpg
032.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00031.tif/full/full/0/default.jpg
033.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00032.tif/full/full/0/default.jpg
034.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00033.tif/full/full/0/default.jpg
035.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00034.tif/full/full/0/default.jpg
036.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00035.tif/full/full/0/default.jpg
037.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00036.tif/full/full/0/default.jpg
038.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00037.tif/full/full/0/default.jpg
039.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00038.tif/full/full/0/default.jpg
040.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00039.tif/full/full/0/default.jpg
041.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00040.tif/full/full/0/default.jpg
042.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00041.tif/full/full/0/default.jpg
043.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00042.tif/full/full/0/default.jpg
044.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00043.tif/full/full/0/default.jpg
045.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00044.tif/full/full/0/default.jpg
046.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00045.tif/full/full/0/default.jpg
047.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00046.tif/full/full/0/default.jpg
048.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00047.tif/full/full/0/default.jpg
049.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00048.tif/full/full/0/default.jpg
050.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00049.tif/full/full/0/default.jpg
051.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00050.tif/full/full/0/default.jpg
052.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00051.tif/full/full/0/default.jpg
053.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00052.tif/full/full/0/default.jpg
054.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00053.tif/full/full/0/default.jpg
055.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00054.tif/full/full/0/default.jpg
056.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00055.tif/full/full/0/default.jpg
057.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00056.tif/full/full/0/default.jpg
058.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00057.tif/full/full/0/default.jpg
059.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00058.tif/full/full/0/default.jpg
060.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00059.tif/full/full/0/default.jpg
061.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00060.tif/full/full/0/default.jpg
062.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00061.tif/full/full/0/default.jpg
063.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100384209/v4/TOKK/TOKK-00109/TOKK-00109-00062.tif/full/full/0/default.jpg
