filename	status	image
001.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00001_0.ptif/info.json
002.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00002_0.ptif/info.json
003.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00003_0.ptif/info.json
004.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00004_0.ptif/info.json
005.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00005_0.ptif/info.json
006.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00006_0.ptif/info.json
007.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00007_0.ptif/info.json
008.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00008_0.ptif/info.json
009.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00009_0.ptif/info.json
010.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00010_0.ptif/info.json
011.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00011_0.ptif/info.json
012.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00012_0.ptif/info.json
013.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00013_0.ptif/info.json
014.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00014_0.ptif/info.json
015.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00015_0.ptif/info.json
016.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00016_0.ptif/info.json
017.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00017_0.ptif/info.json
018.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00018_0.ptif/info.json
019.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00019_0.ptif/info.json
020.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00020_0.ptif/info.json
021.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00021_0.ptif/info.json
022.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00022_0.ptif/info.json
023.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00023_0.ptif/info.json
024.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00024_0.ptif/info.json
025.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00025_0.ptif/info.json
026.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00026_0.ptif/info.json
027.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00027_0.ptif/info.json
028.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00028_0.ptif/info.json
029.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00029_0.ptif/info.json
030.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00030_0.ptif/info.json
031.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00031_0.ptif/info.json
032.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00032_0.ptif/info.json
033.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00033_0.ptif/info.json
034.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00034_0.ptif/info.json
035.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00035_0.ptif/info.json
036.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00036_0.ptif/info.json
037.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00037_0.ptif/info.json
038.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00038_0.ptif/info.json
039.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00039_0.ptif/info.json
040.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00040_0.ptif/info.json
041.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00041_0.ptif/info.json
042.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00042_0.ptif/info.json
043.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00043_0.ptif/info.json
044.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00044_0.ptif/info.json
045.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00045_0.ptif/info.json
046.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F01%2FRB00005582_00046_0.ptif/info.json
047.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F02%2FRB00005582_00047_0.ptif/info.json
048.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F02%2FRB00005582_00048_0.ptif/info.json
049.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F02%2FRB00005582_00049_0.ptif/info.json
050.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F02%2FRB00005582_00050_0.ptif/info.json
051.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00005582%2F02%2FRB00005582_00051_0.ptif/info.json
