filename	status	image	canvasId
001.txt	default	https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208087192%2F0001.tif/full/full/0/default.jpg	https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208087192/page2565120
002.txt	default	https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208087192%2F0002.tif/full/full/0/default.jpg	https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208087192/page2565121
003.txt	default	https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208087192%2F0003.tif/full/full/0/default.jpg	https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208087192/page2565122
004.txt	default	https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208087192%2F0004.tif/full/full/0/default.jpg	https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208087192/page2565123
005.txt	default	https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208087192%2F0005.tif/full/full/0/default.jpg	https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208087192/page2565124
006.txt	default	https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208087192%2F0006.tif/full/full/0/default.jpg	https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208087192/page2565125
007.txt	default	https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208087192%2F0007.tif/full/full/0/default.jpg	https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208087192/page2565126
008.txt	default	https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208087192%2F0008.tif/full/full/0/default.jpg	https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208087192/page2565127
009.txt	default	https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208087192%2F0009.tif/full/full/0/default.jpg	https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208087192/page2565128
010.txt	default	https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208087192%2F0010.tif/full/full/0/default.jpg	https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208087192/page2565129
011.txt	default	https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208087192%2F0011.tif/full/full/0/default.jpg	https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208087192/page2565130
012.txt	default	https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208087192%2F0012.tif/full/full/0/default.jpg	https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208087192/page2565131
