filename	status	image
001.txt	completed	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B101000108/iiif/B1010001080001.jp2/full/full/0/default.jpg
002.txt	initiated	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B101000108/iiif/B1010001080002.jp2/full/full/0/default.jpg
003.txt	completed	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B101000108/iiif/B1010001080003.jp2/full/full/0/default.jpg
004.txt	completed	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B101000108/iiif/B1010001080004.jp2/full/full/0/default.jpg
005.txt	completed	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B101000108/iiif/B1010001080005.jp2/full/full/0/default.jpg
006.txt	completed	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B101000108/iiif/B1010001080006.jp2/full/full/0/default.jpg
007.txt	completed	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B101000108/iiif/B1010001080007.jp2/full/full/0/default.jpg
008.txt	completed	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B101000108/iiif/B1010001080008.jp2/full/full/0/default.jpg
009.txt	completed	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B101000108/iiif/B1010001080009.jp2/full/full/0/default.jpg
010.txt	completed	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B101000108/iiif/B1010001080010.jp2/full/full/0/default.jpg
011.txt	completed	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B101000108/iiif/B1010001080011.jp2/full/full/0/default.jpg
012.txt	completed	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B101000108/iiif/B1010001080012.jp2/full/full/0/default.jpg
013.txt	completed	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B101000108/iiif/B1010001080013.jp2/full/full/0/default.jpg
014.txt	completed	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B101000108/iiif/B1010001080014.jp2/full/full/0/default.jpg
015.txt	completed	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B101000108/iiif/B1010001080015.jp2/full/full/0/default.jpg
016.txt	initiated	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B101000108/iiif/B1010001080016.jp2/full/full/0/default.jpg
017.txt	completed	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B101000108/iiif/B1010001080017.jp2/full/full/0/default.jpg
018.txt	completed	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B101000108/iiif/B1010001080018.jp2/full/full/0/default.jpg
019.txt	completed	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B101000108/iiif/B1010001080019.jp2/full/full/0/default.jpg
