filename	status	image
001.txt	initiated	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260001.jp2/full/full/0/default.jpg
002.txt	initiated	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260002.jp2/full/full/0/default.jpg
003.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260003.jp2/full/full/0/default.jpg
004.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260004.jp2/full/full/0/default.jpg
005.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260005.jp2/full/full/0/default.jpg
006.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260006.jp2/full/full/0/default.jpg
007.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260007.jp2/full/full/0/default.jpg
008.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260008.jp2/full/full/0/default.jpg
009.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260009.jp2/full/full/0/default.jpg
010.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260010.jp2/full/full/0/default.jpg
011.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260011.jp2/full/full/0/default.jpg
012.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260012.jp2/full/full/0/default.jpg
013.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260013.jp2/full/full/0/default.jpg
014.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260014.jp2/full/full/0/default.jpg
015.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260015.jp2/full/full/0/default.jpg
016.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260016.jp2/full/full/0/default.jpg
017.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260017.jp2/full/full/0/default.jpg
018.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260018.jp2/full/full/0/default.jpg
019.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260019.jp2/full/full/0/default.jpg
020.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260020.jp2/full/full/0/default.jpg
021.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260021.jp2/full/full/0/default.jpg
022.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260022.jp2/full/full/0/default.jpg
023.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260023.jp2/full/full/0/default.jpg
024.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260024.jp2/full/full/0/default.jpg
025.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260025.jp2/full/full/0/default.jpg
026.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260026.jp2/full/full/0/default.jpg
027.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260027.jp2/full/full/0/default.jpg
028.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260028.jp2/full/full/0/default.jpg
029.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260029.jp2/full/full/0/default.jpg
030.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260030.jp2/full/full/0/default.jpg
031.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260031.jp2/full/full/0/default.jpg
032.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260032.jp2/full/full/0/default.jpg
033.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260033.jp2/full/full/0/default.jpg
034.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260034.jp2/full/full/0/default.jpg
035.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260035.jp2/full/full/0/default.jpg
036.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260036.jp2/full/full/0/default.jpg
037.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260037.jp2/full/full/0/default.jpg
038.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260038.jp2/full/full/0/default.jpg
039.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260039.jp2/full/full/0/default.jpg
040.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260040.jp2/full/full/0/default.jpg
041.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260041.jp2/full/full/0/default.jpg
042.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260042.jp2/full/full/0/default.jpg
043.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260043.jp2/full/full/0/default.jpg
044.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260044.jp2/full/full/0/default.jpg
045.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260045.jp2/full/full/0/default.jpg
046.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260046.jp2/full/full/0/default.jpg
047.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260047.jp2/full/full/0/default.jpg
048.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260048.jp2/full/full/0/default.jpg
049.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260049.jp2/full/full/0/default.jpg
050.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260050.jp2/full/full/0/default.jpg
051.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260051.jp2/full/full/0/default.jpg
052.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260052.jp2/full/full/0/default.jpg
053.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260053.jp2/full/full/0/default.jpg
054.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260054.jp2/full/full/0/default.jpg
055.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260055.jp2/full/full/0/default.jpg
056.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260056.jp2/full/full/0/default.jpg
057.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260057.jp2/full/full/0/default.jpg
058.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260058.jp2/full/full/0/default.jpg
059.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260059.jp2/full/full/0/default.jpg
060.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260060.jp2/full/full/0/default.jpg
061.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260061.jp2/full/full/0/default.jpg
062.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260062.jp2/full/full/0/default.jpg
063.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260063.jp2/full/full/0/default.jpg
064.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260064.jp2/full/full/0/default.jpg
065.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260065.jp2/full/full/0/default.jpg
066.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260066.jp2/full/full/0/default.jpg
067.txt	default	https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002431826/iiif/B0024318260067.jp2/full/full/0/default.jpg
