filename	status	image	canvasId
001.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_001.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440010
002.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_002.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440020
003.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_003.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440030
004.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_004.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440040
005.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_005.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440050
006.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_006.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440060
007.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_007.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440070
008.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_008.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440080
009.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_009.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440090
010.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_010.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440100
011.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_011.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440110
012.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_012.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440120
013.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_013.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440130
014.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_014.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440140
015.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_015.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440150
016.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_016.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440160
017.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_017.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440170
018.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_018.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440180
019.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_019.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440190
020.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_020.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440200
021.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_021.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440210
022.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_022.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440220
023.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_023.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440230
024.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_024.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440240
025.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_025.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440250
026.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_026.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440260
027.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_027.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440270
028.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_028.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440280
029.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_029.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440290
030.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_030.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440300
031.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_031.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440310
032.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_032.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440320
033.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_033.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440330
034.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_034.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440340
035.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_035.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440350
036.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_036.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440360
037.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_037.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440370
038.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_038.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440380
039.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_039.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440390
040.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_040.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440400
041.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_041.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440410
042.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_042.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440420
043.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_043.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440430
044.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_044.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440440
045.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444%2FHW444_045.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW444/pageHW4440450
