filename	status	image
001.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW479c-2%2FHW479c-2_001.tif/full/full/0/default.jpg
002.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW479c-2%2FHW479c-2_002.tif/full/full/0/default.jpg
003.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW479c-2%2FHW479c-2_003.tif/full/full/0/default.jpg
004.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW479c-2%2FHW479c-2_004.tif/full/full/0/default.jpg
005.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW479c-2%2FHW479c-2_005.tif/full/full/0/default.jpg
006.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW479c-2%2FHW479c-2_006.tif/full/full/0/default.jpg
007.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW479c-2%2FHW479c-2_007.tif/full/full/0/default.jpg
008.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW479c-2%2FHW479c-2_008.tif/full/full/0/default.jpg
009.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW479c-2%2FHW479c-2_009.tif/full/full/0/default.jpg
010.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW479c-2%2FHW479c-2_010.tif/full/full/0/default.jpg
011.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW479c-2%2FHW479c-2_011.tif/full/full/0/default.jpg
012.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW479c-2%2FHW479c-2_012.tif/full/full/0/default.jpg
013.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW479c-2%2FHW479c-2_013.tif/full/full/0/default.jpg
014.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW479c-2%2FHW479c-2_014.tif/full/full/0/default.jpg
015.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW479c-2%2FHW479c-2_015.tif/full/full/0/default.jpg
016.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW479c-2%2FHW479c-2_016.tif/full/full/0/default.jpg
017.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW479c-2%2FHW479c-2_017.tif/full/full/0/default.jpg
018.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW479c-2%2FHW479c-2_018.tif/full/full/0/default.jpg
019.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW479c-2%2FHW479c-2_019.tif/full/full/0/default.jpg
020.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW479c-2%2FHW479c-2_020.tif/full/full/0/default.jpg
021.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW479c-2%2FHW479c-2_021.tif/full/full/0/default.jpg
022.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW479c-2%2FHW479c-2_022.tif/full/full/0/default.jpg
