filename	status	image
001.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-00996.tif/full/full/0/default.jpg
002.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-00997.tif/full/full/0/default.jpg
003.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-00998.tif/full/full/0/default.jpg
004.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-00999.tif/full/full/0/default.jpg
005.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01000.tif/full/full/0/default.jpg
006.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01001.tif/full/full/0/default.jpg
007.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01002.tif/full/full/0/default.jpg
008.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01003.tif/full/full/0/default.jpg
009.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01004.tif/full/full/0/default.jpg
010.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01005.tif/full/full/0/default.jpg
011.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01006.tif/full/full/0/default.jpg
012.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01007.tif/full/full/0/default.jpg
013.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01008.tif/full/full/0/default.jpg
014.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01009.tif/full/full/0/default.jpg
015.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01010.tif/full/full/0/default.jpg
016.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01011.tif/full/full/0/default.jpg
017.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01012.tif/full/full/0/default.jpg
018.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01013.tif/full/full/0/default.jpg
019.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01014.tif/full/full/0/default.jpg
020.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01015.tif/full/full/0/default.jpg
021.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01016.tif/full/full/0/default.jpg
022.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01017.tif/full/full/0/default.jpg
023.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01018.tif/full/full/0/default.jpg
024.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01019.tif/full/full/0/default.jpg
025.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01020.tif/full/full/0/default.jpg
026.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01021.tif/full/full/0/default.jpg
027.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01022.tif/full/full/0/default.jpg
028.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01023.tif/full/full/0/default.jpg
029.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01024.tif/full/full/0/default.jpg
030.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01025.tif/full/full/0/default.jpg
031.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01026.tif/full/full/0/default.jpg
032.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01027.tif/full/full/0/default.jpg
033.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01028.tif/full/full/0/default.jpg
034.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01029.tif/full/full/0/default.jpg
035.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01030.tif/full/full/0/default.jpg
036.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01031.tif/full/full/0/default.jpg
037.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01032.tif/full/full/0/default.jpg
038.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01033.tif/full/full/0/default.jpg
039.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01034.tif/full/full/0/default.jpg
040.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01035.tif/full/full/0/default.jpg
041.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01036.tif/full/full/0/default.jpg
042.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01037.tif/full/full/0/default.jpg
043.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01038.tif/full/full/0/default.jpg
044.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01039.tif/full/full/0/default.jpg
045.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01040.tif/full/full/0/default.jpg
046.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01041.tif/full/full/0/default.jpg
047.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01042.tif/full/full/0/default.jpg
048.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01043.tif/full/full/0/default.jpg
049.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01044.tif/full/full/0/default.jpg
050.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01045.tif/full/full/0/default.jpg
051.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01046.tif/full/full/0/default.jpg
052.txt	default	https://kokusho.nijl.ac.jp/api/iiif/200013147/v4/NIIP/YA6-0260/YA6-0260-01047.tif/full/full/0/default.jpg
