filename	status	image	canvasId
001.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-01.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page1
002.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-02.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page2
003.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-03.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page3
004.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-04.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page4
005.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-05.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page5
006.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-06.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page6
007.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-07.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page7
008.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-08.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page8
009.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-09.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page9
010.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-10.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page10
011.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-11.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page11
012.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-12.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page12
013.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-13.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page13
014.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-14.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page14
015.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-15.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page15
016.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-16.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page16
017.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-17.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page17
018.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-18.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page18
019.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-19.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page19
020.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-20.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page20
021.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-21.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page21
022.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-22.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page22
023.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-23.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page23
024.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-24.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page24
025.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-25.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page25
026.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-26.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page26
027.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-27.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page27
028.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-28.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page28
029.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-29.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page29
030.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-30.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page30
031.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-31.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page31
032.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-32.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page32
033.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-33.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page33
034.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-34.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page34
035.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-35.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page35
036.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-36.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page36
037.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-37.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page37
038.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550053-38.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550053/page38
