filename	status	image	canvasId
001.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-01.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page1
002.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-02.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page2
003.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-03.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page3
004.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-04.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page4
005.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-05.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page5
006.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-06.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page6
007.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-07.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page7
008.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-08.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page8
009.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-09.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page9
010.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-10.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page10
011.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-11.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page11
012.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-12.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page12
013.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-13.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page13
014.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-14.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page14
015.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-15.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page15
016.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-16.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page16
017.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-17.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page17
018.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-18.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page18
019.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-19.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page19
020.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-20.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page20
021.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-21.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page21
022.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-22.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page22
023.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-23.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page23
024.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-24.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page24
025.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-25.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page25
026.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-26.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page26
027.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-27.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page27
028.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-28.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page28
029.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-29.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page29
030.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-30.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page30
031.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-31.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page31
032.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-32.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page32
033.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-33.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page33
034.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-34.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page34
035.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-35.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page35
036.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-36.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page36
037.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-37.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page37
038.txt	default	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550114-38.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550114/page38
