filename	status	image
001.txt	completed	https://image.kukozisin.org/iiif/2/TKS2021__0101.tif/full/full/0/default.jpg
002.txt	completed	https://image.kukozisin.org/iiif/2/TKS2021__0102.tif/full/full/0/default.jpg
003.txt	completed	https://image.kukozisin.org/iiif/2/TKS2021__0103.tif/full/full/0/default.jpg
004.txt	completed	https://image.kukozisin.org/iiif/2/TKS2021__0104.tif/full/full/0/default.jpg
005.txt	completed	https://image.kukozisin.org/iiif/2/TKS2021__0105.tif/full/full/0/default.jpg
006.txt	completed	https://image.kukozisin.org/iiif/2/TKS2021__0106.tif/full/full/0/default.jpg
007.txt	completed	https://image.kukozisin.org/iiif/2/TKS2021__0107.tif/full/full/0/default.jpg
008.txt	completed	https://image.kukozisin.org/iiif/2/TKS2021__0108.tif/full/full/0/default.jpg
009.txt	completed	https://image.kukozisin.org/iiif/2/TKS2021__0109.tif/full/full/0/default.jpg
010.txt	completed	https://image.kukozisin.org/iiif/2/TKS2021__0110.tif/full/full/0/default.jpg
011.txt	completed	https://image.kukozisin.org/iiif/2/TKS2021__0111.tif/full/full/0/default.jpg
