filename	status	image
001.txt	initiated	https://iiif.adeac.jp/iiif/3/3310015100%2Fk000224%2F001.tif/info.json
002.txt	initiated	https://iiif.adeac.jp/iiif/3/3310015100%2Fk000224%2F002.tif/info.json
003.txt	initiated	https://iiif.adeac.jp/iiif/3/3310015100%2Fk000224%2F003.tif/info.json
004.txt	initiated	https://iiif.adeac.jp/iiif/3/3310015100%2Fk000224%2F004.tif/info.json
005.txt	initiated	https://iiif.adeac.jp/iiif/3/3310015100%2Fk000224%2F005.tif/info.json
006.txt	initiated	https://iiif.adeac.jp/iiif/3/3310015100%2Fk000224%2F006.tif/info.json
007.txt	initiated	https://iiif.adeac.jp/iiif/3/3310015100%2Fk000224%2F007.tif/info.json
008.txt	initiated	https://iiif.adeac.jp/iiif/3/3310015100%2Fk000224%2F008.tif/info.json
009.txt	initiated	https://iiif.adeac.jp/iiif/3/3310015100%2Fk000224%2F009.tif/info.json
010.txt	initiated	https://iiif.adeac.jp/iiif/3/3310015100%2Fk000224%2F010.tif/info.json
011.txt	completed	https://iiif.adeac.jp/iiif/3/3310015100%2Fk000224%2F011.tif/info.json
